mcNumber,legalName,dbaName,entityType,operationType,phone,email,physicalAddress,mailingAddress,city,state,zip,url
MC-759200,LEMUEL M SLAUENWHITE III,LEM'S AUTOWERKE & PERFORMANCE,CARRIER,Property,(207) 929-6489,LEMSAUTOWERKE@YAHOO.COM,"59 BEECH PLAIN RD, BUXTON, ME 04093","59 BEECH PLAIN RD, BUXTON, ME 04093",BUXTON,ME,4093.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759200
MC-759203,AWH TRANSPORTS LLC,,CARRIER,Property,(765) 404-2127,AARONWHOWE@GMAIL.COM,"2338 E 1100 S, BROOKSTON, IN 47923","2338 E 1100 S, BROOKSTON, IN 47923",BROOKSTON,IN,47923.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759203
MC-759206,C WALKER TRANSPORTATION LLC,,CARRIER,Property,(662) 278-9143,CHWALK.CW@LIVE.COM,"118 ENOCH RD, HOLLY SPRINGS, MS 38635","118 ENOCH RD, HOLLY SPRINGS, MS 38635",HOLLY SPRINGS,MS,38635.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759206
MC-759224,STEWART & SONS LTD,,CARRIER,Property,(319) 657-3171,FUEL@IOWATELECOM.NET,"268 N RAILROAD ST, AINSWORTH, IA 52201","P O BOX 153, AINSWORTH, IA 52201-0153",AINSWORTH,IA,52201.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759224
MC-759226,PEACHTREE TRUCKING INC,,CARRIER,Property,(404) 664-6092,SEONGHONG0420@GMAIL.COM,"905 US 441, COMMERCE, GA 30529","905 US 441, COMMERCE, GA 30529",COMMERCE,GA,30529.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759226
MC-759235,SCHMITT FARMS TRUCKING INC,,CARRIER,Property,(712) 370-1228,JSCHMITT79@HOTMAIL.COM,"2216 TEAK AVE, CLARINDA, IA 51632","2216 TEAK AVE, CLARINDA, IA 51632",CLARINDA,IA,51632.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759235
MC-759239,GARY D JAMES SR,JAMES FAMILY FARMS,CARRIER,Property,(937) 707-4830,GARYDJAMESSR@GMAIL.COM,"17740 ALLEN CENTER RD, MARYSVILLE, OH 43040","17740 ALLEN CENTER RD, MARYSVILLE, OH 43040",MARYSVILLE,OH,43040.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759239
MC-759248,TUTTLE TRUCKING INC,,CARRIER,Property,(618) 563-4330,,"17502 N STATE HWY 1, HUTSONVILLE, IL 62433","PO BOX 177, HUTSONVILLE, IL 62433",HUTSONVILLE,IL,62433.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759248
MC-759256,POINT TO POINT TRUCKING LLC,,CARRIER,Property,(443) 734-2817,,"57 MAGOTHY BEACH ROAD, PASADENA, MD 21122","57 MAGOTHY BEACH ROAD, PASADENA, MD 21122",PASADENA,MD,21122.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759256
MC-1193976,BOBBY W BAGBEY,COUNTRY PRIDE TRUCKING,CARRIER,Property,(434) 374-4860,DIANE_HUBBARD2001@YAHOO.COM,"773 NEWTON RD, BUFFALO JCT, VA 24529","PO BOX 720655, OKLA CITY, OK 73172",BUFFALO JCT,VA,24529.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759270
MC-759274,ITRUCK LOGISTICS LLC,,CARRIER,Property,(734) 883-6913,ITRUCKLLC@GMAIL.COM,"7113 WINNOW CT, REYNOLDSBURG, OH 43068","7113 WINNOW CT, REYNOLDSBURG, OH 43068",REYNOLDSBURG,OH,43068.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759274
MC-759278,SEMIEN EXPRESS LLC,,CARRIER,Property,(832) 620-1509,ALTONSEMIEN2@GMAIL.COM,"4106 GRACELAND DRIVE, DEER PARK, TX 77536","4106 GRACELAND DRIVE, DEER PARK, TX 77536",DEER PARK,TX,77536.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759278
MC-759281,HUMBLE HAND MOVERS INC,,CARRIER,Property,(816) 914-6445,MCCLUNIE@SBCGLOBAL.NET,"1309 SW GRAYSTONE CIR, GRAIN VALLEY, MO 64029","1309 SW GRAYSTONE CIR, GRAIN VALLEY, MO 64029",GRAIN VALLEY,MO,64029.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759281
MC-759284,PTS PRITCHARD TRANSPORT SERVICE LTD,,CARRIER,Property,(204) 230-7886,PTS204@YMAIL.COM,"370 KILDONAN MEADOW DRIVE, WINNIPEG, MB R3W 0C1","370 KILDONAN MEADOW DRIVE, WINNIPEG, MB R3W 0C1",,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759284
MC-759291,JDE TRANSPORT INC,,CARRIER,Property,(832) 574-6547,HAYDEEPEREZ16@YAHOO.COM,"14777 FM 359, HEMPSTEAD, TX 77445","14777 FM 359, HEMPSTEAD, TX 77445",HEMPSTEAD,TX,77445.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759291
MC-759299,VLK EXPRESS LLC,,CARRIER,Property,(503) 807-5069,LKEXPRESS28@YAHOO.COM,"722 SE 111TH AVE, PORTLAND, OR 97216","722 SE 111TH AVE, PORTLAND, OR 97216",PORTLAND,OR,97216.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759299
MC-759319,HD BLUSH BACKHOE & TRUCK SERVICE,,CARRIER/SHIPPER,Property,(618) 781-1587,HENRYDBUSH@YAHOO.COM,"6 LAKERIDGE, ALTON, IL 62002","6 LAKERIDGE, ALTON, IL 62002",ALTON,IL,62002.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759319
MC-759321,BRIAN C COOPER,BRIAN COOPER TRUCKING,CARRIER,Property,(207) 754-7433,KCOOPER868@ROADRUNNER.COM,"92 BRADFORD RD, TURNER, ME 04282","92 BRADFORD RD, TURNER, ME 04282",TURNER,ME,4282.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759321
MC-759324,ABRAM FRIESEN,WESTERN TRANSPORT,CARRIER,Property,(620) 621-6881,WESTERN50TRANSPORT@YAHOO.COM,"209 S ROAD L, ULYSSES, KS 67880","209 S ROAD L, ULYSSES, KS 67880",ULYSSES,KS,67880.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=759324
MC-722854,1261788 ONTARIO INC,NEW CITY TRANSPORT,CARRIER,Property,(905) 956-3646,NEWCITYTRANSPORT@HOTMAIL.COM,"3316 MICHAUD AVE, MISSISSAUGA, ON L4T 1P7","3316 MICHAUD AVE, MISSISSAUGA, ON L4T 1P7",,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722854
MC-722859,CIRCLE S LLC,,CARRIER,Property,(740) 886-6500,ANGELLTAX@FRONTIER.COM,"660 TWP RD 216, SCOTTOWN, OH 45678","127 STATE ST, PROCTORVILLE, OH 45669",SCOTTOWN,OH,45678.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722859
MC-722860,A & O TRUCKING LLC,,CARRIER,Property,(216) 688-0086,AANDOTRUCKING@ME.COM,"12613 BELLAIRE RD, CLEVELAND, OH 44135","P O BOX 35545, CLEVELAND, OH 44135",CLEVELAND,OH,44135.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722860
MC-722863,WELLER CUSTOMS LLC,,CARRIER,Property,(712) 790-4633,DUSTIN_WELLER@HOTMAIL.COM,"402 W CENTER STREET, ARCADIA, IA 51430","402 W CENTER STREET, ARCADIA, IA 51430",ARCADIA,IA,51430.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722863
MC-722865,ASM LLC,ALL SERVICE MOVING,CARRIER,Property,(800) 362-4545,FLEET@ALLSERVICEMOVING.COM,"66 SE MORRISON ST, PORTLAND, OR 97214","66 SE MORRISON ST, PORTLAND, OR 97214",PORTLAND,OR,97214.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722865
MC-722867,CKC TRUCKING LLC,,CARRIER,Property,(920) 219-1078,CKCTRUCKING@YAHOO.COM,"N3545 MOHR RD, COLUMBUS, WI 53925","N3545 MOHR RD, COLUMBUS, WI 53925",COLUMBUS,WI,53925.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722867
MC-722895,S R F TRANSPORT LLC,,CARRIER,Property,(207) 436-1684,SCOTTFORTIN71@YAHOO.COM,"216 ISLAND RD, ST AGATHA, ME 04772","PO BOX 205, ST AGATHA, ME 04772",ST AGATHA,ME,4772.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722895
MC-722903,EARL FARNSWORTH EXPRESS,,CARRIER,Property,(415) 459-6683,KEN@FARNSWORTHEXPRESS.COM,"2111 E FRANCISCO, SAN RAFAEL, CA 94901","2111 E FRANCISCO BLVD, SAN RAFAEL, CA 94901",SAN RAFAEL,CA,94901.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722903
MC-722909,TRANSU ENTERPRISE LLC,,CARRIER,Property,(404) 379-8422,TRANSUENTERPRISES@GMAIL.COM,"3116 SILVER HILL TERRACE SE, ATLANTA, GA 30316","925B PEACHTREE ST NE #2004, ATLANTA, GA 30309",ATLANTA,GA,30316.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722909
MC-722910,CHUCK WAGER,BAR W TRUCKING,CARRIER,Property,(409) 550-6791,BARWTRKG@AOL.COM,"8324 FM 418, SILSBEE, TX 77656","8324 FM 418, SILSBEE, TX 77656",SILSBEE,TX,77656.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722910
MC-722929,TIMOTHY HAROLD MORRIS,STEAMSHIP SUPPLY,CARRIER,Property,(801) 759-7736,AMANDAMORRIS564@GMAIL.COM,"1420 WEST 1850 NORTH, LAYTON, UT 84041","1420 WEST 1850 NORTH, LAYTON, UT 84041",LAYTON,UT,84041.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722929
MC-722954,M R DIRT INC,,CARRIER,Property,(570) 265-0857,TWANDELL@DIGMRDIRT.COM,"21186 ROUTE 187, TOWANDA, PA 18848","21186 ROUTE 187, TOWANDA, PA 18848",TOWANDA,PA,18848.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722954
MC-722956,KBS PREOWNED VEHICLES LLC,,CARRIER,Property,(304) 692-9615,RON@KBSPREOWNED.COM,"430 HIDDEN VALLEY RD, MORGANTOWN, WV 26501","430 HIDDEN VALLEY RD, MORGANTOWN, WV 26501",MORGANTOWN,WV,26501.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722956
MC-722963,LOAD KING TRANSPORT INC,,CARRIER,Property,(905) 794-2040,KAMAL@LOADKINGTRANSPORT.COM,"181 TRADE VALLEY DRIVE, VAUGHAN, ON L4H 3N6","181 TRADE VALLEY DRIVE, VAUGHAN, ON L4H 3N6",,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722963
MC-722973,ACA TRANSPORTATION LLC,,CARRIER,Property,(706) 339-1869,ANTHONYTRANSPORTATION@GMAIL.COM,"6844 BLUFF RD, ALLENDALE, SC 29810","4316 WASHINGTON RD STE117, EVANS, GA 30809",ALLENDALE,SC,29810.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722973
MC-722987,TRINITY TRANSPORT INC,,CARRIER,Property,(770) 318-1936,TRINITYTRANINC@BELLSOUTH.NET,"3030 BIRCHWOOD CT SW, MARIETTA, GA 30060","3030 BIRCHWOOD CT SW, MARIETTA, GA 30060",MARIETTA,GA,30060.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722987
MC-722992,RUSSO BROTHERS TRANSPORT INC,,CARRIER,Property,(916) 594-7111,IRINARUSSOBROTHERS@YAHOO.COM,"6108 HEDGE AVE, SACRAMENTO, CA 95829","6108 HEDGE AVE, SACRAMENTO, CA 95829",SACRAMENTO,CA,95829.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722992
MC-722996,HECTOR GUITIERREZ,PACIFIC MACHINERY MOVING,CARRIER,Property,(405) 283-0698,COAST22@COAST22.NET,"3544 FRUITLAND AVE, MAYWOOD, CA 90270","PO BOX 720655, OKLAHOMA CITY, OK 73172",MAYWOOD,CA,90270.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=722996
MC-723007,INTERCON EXPEDITED LLC,,CARRIER,Property,(956) 718-6363,ELENA.SERNA@INTERCONEXPEDITED.COM,"19810-B MINES RD, LAREDO, TX 78045","19810-B MINES RD, LAREDO, TX 78045",LAREDO,TX,78045.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723007
MC-723009,J I A SCHAAF TRUCKING,,CARRIER/CARGO TANK,Property,(701) 391-2967,JIASCHAAFTRUCKING@YAHOO.COM,"415 WEST MEADOW LANE, MANDAN, ND 58554","P O BOX 186, MANDAN, ND 58554",MANDAN,ND,58554.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723009
MC-723016,ISD EXPRESS INC,,CARRIER,Property,(336) 979-9139,ION@ISDEXPRESS.COM,"1540 WESTBROOK PLAZA DR STE E, WINSTON SALEM, NC 27103","1540 WESTBROOK PLAZA DR STE E, WINSTON SALEM, NC 27103",WINSTON SALEM,NC,27103.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723016
MC-723026,MCPHERSON CRANE & RIGGING,,CARRIER,Property,(707) 374-4000,IRA@CRANEMAC.COM,"3045 CATTEY LANE, RIO VISTA, CA 94571","PO BOX 653, RIO VISTA, CA 94571",RIO VISTA,CA,94571.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723026
MC-723027,JASWAL TRUCKING INC,,CARRIER,Property,(209) 810-8427,,"11271 N MICKE GROVE RD, LODI, CA 95240","11271 N MICKE GROVE RD, LODI, CA 95240",LODI,CA,95240.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723027
MC-723040,CMR TRUCKING INC,,CARRIER,Property,(615) 720-4077,CMRTRUCKING1980@GMAIL.COM,"11259 ALEXANDRIA ST, ADELANTO, CA 92301","11259 ALEXANDRIA ST, ADELANTO, CA 92301",ADELANTO,CA,92301.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723040
MC-723041,AAA EXPEDITED SERVICES LLC,,CARRIER,Property,(888) 550-3993,ALEN@AAALOGISTICSERVICES.COM,"9374 REMICK AVE, ARLETA, CA 91331","9374 REMICK AVE, ARLETA, CA 91331",ARLETA,CA,91331.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723041
MC-723044,ROBERT WALLACE TETREV,CRUZIN CHROME,CARRIER,Property,(641) 747-2728,CRUZINCHROME@YAHOO.COM,"1206 STATE STE, GUTHRIE CENTER, IA 50115","1206 STATE ST, GUTHRIE CENTER, IA 50115",GUTHRIE CENTER,IA,50115.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723044
MC-723055,HERITAGE TRANSPORT LTD,,CARRIER,Property,(604) 498-4008,HERITAGETRANSPORTLTD@HOTMAIL.COM,"5228 184 STREET, SURREY, BC V3S 1E1","PO BOX 34055 CLOVER SQUARE, SURREY, BC V3S 8C4",,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723055
MC-723060,GEORGE DARKO,,CARRIER,Property,(615) 579-6771,YAWGEORGEDARKO@YAHOO.COM,"829 DOVER GLEN DR, ANTIOCH, TN 37013","829 DOVER GLEN DR, ANTIOCH, TN 37013",ANTIOCH,TN,37013.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723060
MC-723068,WILLIAM CARL TRIGG,W CARL TRIGG TRUCKING,CARRIER,Property,(740) 317-5441,TRIGGTRUCKING@YAHOO.COM,"4867 ST RT 646, BLOOMINGDALE, OH 43910","P O BOX 445, RICHMOND, OH 43944",BLOOMINGDALE,OH,43910.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723068
MC-723069,3PL LOGISTICS INC,,CARRIER,Property,(310) 536-8889,MARCELINO.R@3PLLG.COM,"5422 W ROSECRANS, HAWTHORNE, CA 90250","5422 W ROSECRANS, HAWTHORNE, CA 90250",HAWTHORNE,CA,90250.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723069
MC-723070,VOG EXPRESS LLC,,CARRIER,Property,(770) 658-8230,VOGEXPRESSLLC@GMAIL.COM,"3066 THOMPSON MILL ROAD, BUFORD, GA 30519","3066 THOMPSON MILL ROAD, BUFORD, GA 30519",BUFORD,GA,30519.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723070
MC-723083,PHOENIX WOOD TRANSPORT LLC,,CARRIER,Property,(352) 622-1131,DAVIDPRESTON@PHOENIXWOOD.COM,"3761 NE 36TH AVE, OCALA, FL 34479","3761 NE 36TH AVE, OCALA, FL 34479",OCALA,FL,34479.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723083
MC-723092,RICHARD KING,RK TRANSPORT,CARRIER,Property,(413) 539-0327,,"20 TORREY STREET, EASTHAMPTON, MA 01027","20 TORREY STREET, EASTHAMPTON, MA 01027",EASTHAMPTON,MA,1027.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723092
MC-723099,STERLINGWOOD INC,,CARRIER,Property,(412) 449-0700,,"171 7TH AVENUE, VALENCIA, PA 16059","PO BOX 802, MARS, PA 16046-0802",VALENCIA,PA,16059.0,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723099
MC-739612,DAIRY DYNAMICS LLC,DAIRY DYNAMICS,CARRIER,Property,(847) 758-7300,JILL@DAIRYDYNAMICS.COM,"17820 WASHINGTON ST, UNION, IL 60180-0283","17820 WASHINGTON ST, UNION, IL 60180-0283",UNION,IL,60180-0283,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739612
MC-739613,M BAKER TRUCKING LLC,,CARRIER,Property,(417) 438-8966,,"2417 STATE LINE AVE, JOPLIN, MO 64801","2417 STATE LINE AVE, JOPLIN, MO 64801",JOPLIN,MO,64801,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739613
MC-739620,PENN EXPRESS TRANS INC,,CARRIER,Property,(570) 369-8919,IVO.GOSPODINOV@GMAIL.COM,"113 E 1ST STREET, WIND GAP, PA 18091","113 E 1ST STREET, WIND GAP, PA 18091",WIND GAP,PA,18091,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739620
MC-739623,JB TRUCK LINE INC,,CARRIER,Property,(773) 447-9055,JBTRUCKLINE@GMAIL.COM,"15608 W 151ST ST, HOMER GLEN, IL 60491","15608 W 151ST ST, HOMER GLEN, IL 60491",HOMER GLEN,IL,60491,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739623
MC-739632,WOELKERS LLC,CLEMENS TRANSPORT,CARRIER,Property,(215) 723-2122,,"673 KELLER CREAMERY ROAD, TELFORD, PA 18969","673 KELLER CREAMERY ROAD, TELFORD, PA 18969",TELFORD,PA,18969,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739632
MC-739634,PARTS SYSTEM SOLUTIONS LLC,,CARRIER,Property,(215) 547-4770,PARTSSYSTEMSOLUTIONS@COMCAST.NET,"225 LINCOLN HWY SUITE 212, FAIRLESS HILLS, PA 19030","225 LINCOLN HWY SUITE 212, FAIRLESS HILLS, PA 19030",FAIRLESS HILLS,PA,19030,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739634
MC-739646,WHM CONSTRUCTION INC,,CARRIER,Property,(903) 625-9019,OFFICE@WHMCONSTRUCTION.COM,"526 CR 3211, JACKSONVILLE, TX 75766","526 CR 3211, JACKSONVILLE, TX 75766",JACKSONVILLE,TX,75766,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739646
MC-739647,FAIRVIEW TRUCKING INC,,CARRIER,Property,(318) 932-6705,FAIRVIEWTRUCKING@AOL.COM,"419 SHOP ROAD, COUSHATTA, LA 71019","419 SHOP ROAD, COUSHATTA, LA 71019",COUSHATTA,LA,71019,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739647
MC-739650,KOSTA INC,,CARRIER,Property,(801) 554-7216,KOSTAINC@COMCAST.NET,"11221 S 2865 W, SOUTH JORDAN, UT 84095","11221 S 2865 W, SOUTH JORDAN, UT 84095",SOUTH JORDAN,UT,84095,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739650
MC-739662,JJB TRUCKING INC,,CARRIER,Property,(716) 583-4913,JBOUCH@YMAIL.COM,"9830 BROADWAY RD, GOWANDA, NY 14070","9830 BROADWAY RD, GOWANDA, NY 14070",GOWANDA,NY,14070,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739662
MC-739684,RENWICK FINE ART SERVICES LLC,,CARRIER,Property,(860) 672-4226,JOE@RENWICKFAS.COM,"200 N 12TH ST, NEWARK, NJ 07107","200 N 12TH ST, NEWARK, NJ 07107",NEWARK,NJ,07107,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739684
MC-739685,CEDAR RIDGE TRUCKING LLC,,CARRIER,Property,(540) 538-9679,HDJACOBUS@YAHOO.COM,"8465 LOCK LANE, WARRENTON, VA 20186","8465 LOCK LANE, WARRENTON, VA 20186",WARRENTON,VA,20186,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739685
MC-739687,FLATFOOT TRUCKING LLC,,CARRIER,Property,(402) 637-7766,RFUCHSER@YAHOO.COM,"10861 COUNTY ROAD 7, NICKERSON, NE 68045","10861 COUNTY ROAD 7, NICKERSON, NE 68045",NICKERSON,NE,68045,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739687
MC-739688,DRIVE 4 U INC,,CARRIER,Property,(773) 206-2742,DRIVE4UINC@GMAIL.COM,"6217 N MELVINA AVE, CHICAGO, IL 60646","6217 N MELVINA AVE, CHICAGO, IL 60646",CHICAGO,IL,60646,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739688
MC-739690,EMAN TRANSPORT INC,ET,CARRIER,Property,(510) 374-2864,EMANTRANSPORT@GMAIL.COM,"2823 FRIGATE BIRD DR, SACRAMENTO, CA 95834","2823 FRIGATE BIRD DR, SACRAMENTO, CA 95834",SACRAMENTO,CA,95834,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739690
MC-739692,GLM LOGISTICS INC,,BROKER,Property,(972) 702-6451,,"13601 PRESTON RD #400 E, DALLAS, TX 75240","13601 PRESTON RD #400 E, DALLAS, TX 75240",DALLAS,TX,75240,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739692
MC-739695,JAMES CHARLES JOHNSON,JIMMY JOHNSON TRUCKING,CARRIER,Property,(704) 363-7745,,"14138 MCLESTER DR, OAKBORO, NC 28129","14138 MCLESTER DR, OAKBORO, NC 28129",OAKBORO,NC,28129,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739695
MC-739701,DHAMI BROS INC,,CARRIER,Property,(916) 801-0621,DHAMIBROSINC@GMAIL.COM,"9470 LYNDLEY PLAZA WAY, ELK GROVE, CA 95624","9470 LYNDLEY PLAZA WAY, ELK GROVE, CA 95624",ELK GROVE,CA,95624,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=739701
